FIPS,COUNTY,ZIP_CODE,PO_NAME,Percent of ZIP code in this county,Percent of county in this ZIP code
18001,Adams County,46711,Berne, 99.98 , 17.71 
18001,Adams County,46714,Bluffton, 6.28 , 2.44 
18001,Adams County,46733,Decatur, 98.16 , 49.89 
18001,Adams County,46740,Geneva, 96.97 , 17.66 
18001,Adams County,46772,Monroe, 100.00 , 10.41 
18001,Adams County,46773,Monroeville, 6.92 , 1.58 
18001,Adams County,46777,Ossian, 1.64 , 0.30 
18001,Adams County,47326,Bryant, 0.05 , 0.01 
18003,Allen County,46704,Arcola, 100.00 , 0.13 
18003,Allen County,46706,Auburn, 3.55 , 0.46 
18003,Allen County,46723,Churubusco, 36.55 , 3.25 
18003,Allen County,46733,Decatur, 1.83 , 0.48 
18003,Allen County,46741,Grabill, 100.00 , 4.10 
18003,Allen County,46743,Harlan, 99.98 , 3.66 
18003,Allen County,46745,Hoagland, 99.99 , 2.73 
18003,Allen County,46748,Huntertown, 90.61 , 2.58 
18003,Allen County,46765,Leo, 100.00 , 1.98 
18003,Allen County,46773,Monroeville, 93.06 , 10.92 
18003,Allen County,46774,New Haven, 100.00 , 8.68 
18003,Allen County,46777,Ossian, 5.67 , 0.53 
18003,Allen County,46783,Roanoke, 33.11 , 2.85 
18003,Allen County,46788,Spencerville, 43.36 , 2.44 
18003,Allen County,46797,Woodburn, 99.99 , 7.54 
18003,Allen County,46798,Yoder, 97.93 , 2.99 
18003,Allen County,46799,Zanesville, 4.85 , 0.00 
18003,Allen County,46802,Fort Wayne, 100.00 , 0.63 
18003,Allen County,46803,Fort Wayne, 100.00 , 1.13 
18003,Allen County,46804,Fort Wayne, 100.00 , 3.12 
18003,Allen County,46805,Fort Wayne, 100.00 , 0.99 
18003,Allen County,46806,Fort Wayne, 100.00 , 1.38 
18003,Allen County,46807,Fort Wayne, 100.00 , 0.47 
18003,Allen County,46808,Fort Wayne, 100.00 , 1.54 
18003,Allen County,46809,Fort Wayne, 100.00 , 3.57 
18003,Allen County,46814,Fort Wayne, 100.00 , 2.38 
18003,Allen County,46815,Fort Wayne, 100.00 , 1.48 
18003,Allen County,46816,Fort Wayne, 100.00 , 5.50 
18003,Allen County,46818,Fort Wayne, 98.47 , 9.76 
18003,Allen County,46819,Fort Wayne, 100.00 , 3.86 
18003,Allen County,46825,Fort Wayne, 100.00 , 2.36 
18003,Allen County,46835,Fort Wayne, 100.00 , 2.99 
18003,Allen County,46845,Fort Wayne, 100.00 , 3.54 
18005,Bartholomew County,46124,Edinburgh, 28.16 , 4.56 
18005,Bartholomew County,46164,Nineveh, 0.04 , 0.00 
18005,Bartholomew County,47201,Columbus, 89.25 , 48.65 
18005,Bartholomew County,47203,Columbus, 100.00 , 19.65 
18005,Bartholomew County,47226,Clifford, 100.00 , 0.03 
18005,Bartholomew County,47232,Elizabethtown, 74.95 , 5.55 
18005,Bartholomew County,47234,Flat Rock, 1.71 , 0.14 
18005,Bartholomew County,47236,Grammer, 100.00 , 0.10 
18005,Bartholomew County,47240,Greensburg, 0.01 , 0.00 
18005,Bartholomew County,47244,Hartsville, 79.89 , 3.45 
18005,Bartholomew County,47246,Hope, 95.85 , 13.70 
18005,Bartholomew County,47247,Jonesville, 100.00 , 0.04 
18005,Bartholomew County,47274,Seymour, 5.30 , 2.80 
18005,Bartholomew County,47280,Taylorsville, 100.00 , 0.16 
18005,Bartholomew County,47283,Westport, 3.37 , 0.55 
18005,Bartholomew County,47448,Nashville, 1.25 , 0.60 
18007,Benton County,47917,Ambia, 42.13 , 4.39 
18007,Benton County,47921,Boswell, 51.82 , 4.63 
18007,Benton County,47942,Earl Park, 97.01 , 14.45 
18007,Benton County,47944,Fowler, 98.92 , 46.61 
18007,Benton County,47948,Goodland, 14.98 , 2.18 
18007,Benton County,47970,Otterbein, 45.46 , 7.58 
18007,Benton County,47971,Oxford, 99.99 , 10.96 
18007,Benton County,47975,Pine Village, 3.83 , 0.37 
18007,Benton County,47977,Remington, 39.79 , 8.33 
18007,Benton County,47986,Templeton, 100.00 , 0.49 
18007,Benton County,47995,Wolcott, 0.01 , 0.00 
18009,Blackford County,46952,Marion, 1.68 , 1.14 
18009,Blackford County,46989,Upland, 2.02 , 0.43 
18009,Blackford County,47336,Dunkirk, 18.99 , 5.29 
18009,Blackford County,47338,Eaton, 2.72 , 0.46 
18009,Blackford County,47348,Hartford City, 97.23 , 71.79 
18009,Blackford County,47359,Montpelier, 58.59 , 20.20 
18009,Blackford County,47369,Pennville, 3.53 , 0.70 
18011,Boone County,46035,Colfax, 23.62 , 1.36 
18011,Boone County,46050,Kirklin, 19.19 , 2.17 
18011,Boone County,46052,Lebanon, 100.00 , 42.61 
18011,Boone County,46069,Sheridan, 36.55 , 7.58 
18011,Boone County,46071,Thorntown, 99.98 , 16.22 
18011,Boone County,46075,Whitestown, 100.00 , 7.20 
18011,Boone County,46077,Zionsville, 91.75 , 9.42 
18011,Boone County,46102,Advance, 100.00 , 0.03 
18011,Boone County,46112,Brownsburg, 2.75 , 0.27 
18011,Boone County,46147,Jamestown, 93.42 , 11.85 
18011,Boone County,46149,Lizton, 0.33 , 0.02 
18011,Boone County,46167,Pittsboro, 1.71 , 0.12 
18011,Boone County,46268,Indianapolis, 4.04 , 0.12 
18011,Boone County,46278,Indianapolis, 0.20 , 0.01 
18011,Boone County,47933,Crawfordsville, 0.88 , 0.48 
18011,Boone County,47968,New Ross, 8.61 , 0.53 
18013,Brown County,46160,Morgantown, 51.06 , 14.64 
18013,Brown County,46164,Nineveh, 66.33 , 8.26 
18013,Brown County,46181,Trafalgar, 11.61 , 1.51 
18013,Brown County,47201,Columbus, 10.74 , 7.57 
18013,Brown County,47235,Freetown, 24.87 , 3.27 
18013,Brown County,47274,Seymour, 2.26 , 1.55 
18013,Brown County,47401,Bloomington, 3.15 , 0.88 
